freq,w1,l1_leg,l1_top,l2,h1,l1_center,Tx_turns,Tx_width,Tx_height,Tx_space_x,Tx_space_y,Tx_preg,Rx_width,Rx_height,Rx_space_x,Rx_space_y,Rx_preg,g2,Tx_layer_space_x,Tx_layer_space_y,wire_diameter,strand_number,Tx_current,Rx_current,magnetizing_current,input_voltage,Lmt,Llt,copperloss_Tx,copperloss_Rx1,copperloss_Rx2,coreloss,magnetizing_copperloss_Tx,magnetizing_copperloss_Rx1,magnetizing_copperloss_Rx2,total_loss,B_center,B_left,Area,Volume
145.0,70.0,2.0,1.4,12.6,1.7,8.0,7.0,0.4301162633521314,0.4301162633521314,0.7000000000000001,0.9,0.14,4.6000000000000005,0.175,0.3,3.9,0.17,0.58,0.2,0.2,0.05,37.0,5.656854249492381,15.556349186104049,4.355326507477001,400.0,71.28143012703381,5.022877616192514,4.383218473752204,0.8092838697287268,0.3186743184136321,3.0477209484021133,3.620701659691115,0.6843033982699919,0.4206206076129778,13.28452327587076,0.0752665663973506,0.2096049973424268,2922.081624983496,13149.367312425731
140.0,70.0,2.0,1.4,12.6,1.71,8.0,7.0,0.4358898943540674,0.4358898943540674,0.4,0.9,0.13,4.800000000000001,0.175,0.3,3.9,0.16,0.58,0.2,0.2,0.05,38.0,5.656854249492381,15.556349186104049,4.497136259883065,400.0,71.49917701026953,4.911217819478631,4.142607431449317,0.7814981348827464,0.3042418473212259,3.2141609669148328,3.631833979517437,0.7517828001665247,0.4564717765591102,13.282596936811196,0.0748780834575653,0.2089099356877384,2919.4355203498567,13166.654196777854
145.0,70.0,2.0,1.4,12.6,1.7,8.0,7.0,0.4183300132670378,0.4183300132670378,0.8,1.1,0.15,4.6000000000000005,0.175,0.4,3.9,0.18,0.58,0.2,0.2,0.05,35.0,5.656854249492381,15.556349186104049,4.301443860434145,400.0,72.1743470788448,4.897197908848754,4.48546839869519,0.8846670781793531,0.3769265066055051,2.9041252969350904,3.378030030567952,0.6661777397212882,0.4189598448689741,13.114354895573353,0.0739713096996307,0.2079826085323537,2927.3293824676693,13172.982221104512
145.0,70.0,2.0,1.4,12.6,1.7,8.0,7.0,0.4183300132670378,0.4183300132670378,0.8,1.1,0.15,4.6000000000000005,0.175,0.4,3.9,0.18,0.58,0.4,0.2,0.05,35.0,5.656854249492381,15.556349186104049,4.301443860434145,400.0,72.1743470788448,4.903025556416939,4.48546839869519,0.8881588584994403,0.3719715688227585,2.9041252969350904,3.378030030567952,0.6661777397212882,0.4189598448689741,13.112891738110694,0.0779339145040521,0.2079826085323537,2957.089382467669,13306.90222110451
145.0,70.0,2.0,1.4,13.1,1.7,8.0,7.0,0.4358898943540674,0.4358898943540674,0.2,0.9,0.13,5.1000000000000005,0.175,0.2,3.9,0.16,0.56,0.3,0.2,0.05,38.0,5.656854249492381,15.556349186104049,4.340307826784949,400.0,71.52808383941434,4.845482003900463,4.163942220219071,0.7351552409746073,0.29200387321393,3.3306187650268293,3.495751062593079,0.678889491944758,0.4053181856924502,13.101678839664729,0.07851410951023,0.2138633607316109,3013.194969821627,13559.377364197322
145.0,70.0,2.0,1.4,13.1,1.7,8.0,7.0,0.4358898943540674,0.4358898943540674,0.2,0.9,0.13,5.1000000000000005,0.175,0.7000000000000001,3.9,0.16,0.56,0.2,0.2,0.05,38.0,5.656854249492381,15.556349186104049,4.3233424445976505,400.0,71.80876974274294,4.80004551601689,4.207999428251558,0.7418738988213746,0.2918346905449627,3.173694171388078,3.304010432119487,0.6373112401824901,0.3882719585752608,12.744995819883211,0.0733337247892333,0.2072186813922146,3017.014969821627,13576.56736419732
145.0,70.0,2.0,1.4,13.1,1.7,8.0,7.0,0.4358898943540674,0.4358898943540674,0.2,0.9,0.13,5.1000000000000005,0.175,0.7000000000000001,3.9,0.16,0.56,0.3,0.2,0.05,38.0,5.656854249492381,15.556349186104049,4.3233424445976505,400.0,71.80876974274294,4.80004551601689,4.207999428251558,0.7352125214644257,0.2879983386059072,3.173694171388078,3.304010432119487,0.6373112401824901,0.3882719585752608,12.734498090587206,0.0745178507350411,0.2072186813922146,3032.2949698216275,13645.327364197325
145.0,70.0,2.0,1.4,13.1,1.7,8.0,7.0,0.4358898943540674,0.4358898943540674,0.2,0.9,0.13,5.2,0.175,0.7000000000000001,3.9,0.16,0.56,0.3,0.2,0.05,38.0,5.656854249492381,15.556349186104049,4.3233424445976505,400.0,71.80876974274294,4.746430430656069,4.182858929445381,0.7352125214644257,0.2870771353385182,3.1553442149015307,3.304010432119487,0.6369407156530766,0.384300513117695,12.685744462040116,0.0743903140045874,0.2003992771257823,3036.114969821628,13662.517364197323
145.0,70.0,2.0,1.4,13.1,1.74,8.0,7.0,0.4358898943540674,0.4358898943540674,1.3,0.9,0.12,5.1000000000000005,0.175,0.2,4.0,0.16,0.58,0.2,0.2,0.05,38.0,5.656854249492381,15.556349186104049,4.310532169801919,400.0,72.02217496439803,5.092972579511836,4.126989657692376,0.7795695757850228,0.2722439115027635,2.8878386626684747,3.3770838643331453,0.6524459525521512,0.3907035329450852,12.486875157479018,0.0768248489015198,0.2133785909677581,3039.934969821627,13801.304762990188
145.0,70.0,2.0,1.4,13.2,1.7,8.0,7.0,0.4358898943540674,0.4358898943540674,1.6,0.9,0.14,5.1000000000000005,0.175,1.2000000000000002,4.1000000000000005,0.16,0.58,0.2,0.2,0.05,38.0,5.656854249492381,15.556349186104049,4.286753439512896,400.0,72.4216837995742,5.093701785143346,4.210268727374904,0.7580498432621835,0.2441862854498371,2.8878386626684747,3.3770838643331453,0.61227961620893,0.361383357983076,12.451090357280552,0.0714149722640538,0.2044084121327618,3105.7708597159813,13975.968868721917
