"Freq [MHz]","Ltx_uH []","Lrx_uH []","M_uH []","k_ratio []","Qtx_ratio []","Qrx_ratio []","FOM_ratio []","re_Z11_ohm []","im_Z11_ohm []","re_Z22_ohm []","im_Z22_ohm []","re_Z12_ohm []","im_Z12_ohm []","M_over_Ltx_ratio []","M_over_Lrx_ratio []","eta_fom_max_ratio []","Volume(tx_mull_ferrite_sheet) [m3]","Volume(tx_ssw_coil_ssw_copper) [m3]","Volume(rx_ssw_coil_ssw_copper) [m3]","Volume(Region_Abs_2000mm) [m3]"
21.32875,-73.2770419536584,-16.0494751688669,4.88972494530626,0.142583754972669,-14.6544629957409,-69.2191428845796,4.5411736655904,670.105670457735,-9820.03875095904,31.0727642499028,-2150.83010843288,-53.2311609150824,655.284208590262,-0.0667292894874031,-0.304665722327884,0.646016070569189,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
22.5775,-25.0033816734889,-9.96111890269849,1.02439278416878,0.0649102188450132,-37.6783028938784,-107.826624960204,4.1373450850284,94.1376031806166,-3546.945126343,13.1050243350159,-1413.07054406611,-5.1914616870865,145.318942882072,-0.0409701694573155,-0.102839128231997,0.619517263563791,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
23.82625,-14.6917245057302,-7.1163955525581,0.417962329656967,0.040876218635273,-56.9592533249808,-135.100355910909,3.58575905449026,38.6139341118282,-2199.42085494974,7.88567999457081,-1065.35817386606,-1.55723266323695,62.5709435316711,-0.0284488270586581,-0.0587323071869893,0.576503471027579,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
25.075,-10.2118927903905,-5.45281702208329,0.215147779490552,0.0288319012975471,-73.6899510554799,-157.420104021844,3.10532824917406,21.8332701615039,-1608.89260958229,5.4573466312968,-859.096074382004,-0.670712253437093,33.8967201767064,-0.021068354702373,-0.0394562624454898,0.530777571360308,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
26.32375,-7.71375378475328,-4.36282495397715,0.12505594687608,0.0215569626061851,-88.5434050135488,-175.964428815337,2.69077956008759,14.4091107474465,-1275.83172879623,4.10081833249537,-721.59815555301,-0.346568904889141,20.6838783491535,-0.0162120739610928,-0.02866398450437,0.483283089238038,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
27.5725,-6.12477712480432,-3.59524441309276,0.0782725938044229,0.016680166094086,-101.916055045068,-191.406508622651,2.32970013020846,10.4112697463468,-1061.07554055773,3.25407630342344,-622.851384029983,-0.199588461447651,13.5601888998593,-0.0127796640121699,-0.0217711467736042,0.434269466289846,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
28.82125,-5.02787168547399,-3.02685919598806,0.0514247403675372,0.013182078861102,-114.054076216677,-204.235078438242,2.01189114584347,7.98299864082123,-910.493535417854,2.68382728165021,-548.131675382525,-0.123295085560476,9.31246789779008,-0.010227934120934,-0.0169894722673912,0.383991801468521,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
30.07,-4.22704528954926,-2.59005901630974,0.0349064956481323,0.0105495265784992,-125.119009291329,-214.828954690012,1.72958148172786,6.38303021919492,-798.638417302283,2.27787632649051,-489.353790133081,-0.079829055690892,6.5950720960849,-0.00825789487858894,-0.0134771043548909,0.332857857258217,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
31.31875,-3.61804952449124,-2.24464194198485,0.0242099108367514,0.0084953719762652,-135.222708753276,-223.489243416631,1.4768470773219,5.26513079546078,-711.965248102497,1.9763995064801,-441.704030392241,-0.0533209459262807,4.7640628075291,-0.00669142604955242,-0.0107856448656321,0.281494988590519,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
32.5675,-3.1403308305744,-1.96520551812262,0.0170074707288123,0.00684617574062087,-144.446544886376,-230.458519307877,1.24910229389662,4.44869400862348,-642.598478802382,1.74493598052501,-402.135362358831,-0.0362933034339586,3.48019855494391,-0.00541582134061381,-0.00865429624127032,0.230792948065966,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
33.81625,-2.75631655274871,-1.73491427388223,0.0120073163030733,0.00549088558769431,-152.852318850109,-235.934017491949,1.04273437729883,3.8314430575653,-585.644955891006,1.56240194564674,-368.623767973673,-0.0248993178938177,2.55123970418786,-0.00435629075009513,-0.00692098536730835,0.181919563832797,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
35.065,-2.44146382845309,-1.54217250023523,0.00845052102132103,0.00435503712899173,-160.488687587343,-240.077304717477,0.854849433265155,3.35165709831087,-537.903048950713,1.41525780758409,-339.771279925155,-0.0170195115222091,1.86181788548992,-0.00346125177970597,-0.00547962113189804,0.13628789350123,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
36.31375,-2.17906671175579,-1.37873577205844,0.00587033942972693,0.00338678344602497,-167.395081052274,-243.021589820394,0.68309515209334,2.97015286702515,-497.188979913319,1.29445558558474,-314.580654360693,-0.0114199619270233,1.33941198636325,-0.00269396957791939,-0.00425776972549464,0.095448482503085,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
37.5625,-1.95736300406732,-1.23858406614734,0.00396867746591708,0.00254886816565062,-173.60417633699,-244.877343317719,0.525535139327552,2.66100422783892,-461.961447203224,1.19374410917121,-292.320886055023,-0.00734900593027054,0.936656093850859,-0.00202756333785319,-0.00320420516813347,0.0608937835728885,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
38.81125,-1.76783428522511,-1.11722068978454,0.00254903466925574,0.00181378364394828,-179.143517162516,-245.736664531559,0.380558134166402,2.4064561611874,-431.101020612518,1.10868075615046,-272.443511046742,-0.00433103755518886,0.621603199280022,-0.00144189683985632,-0.00228158562812449,0.033799955843236,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
40.06,-1.60416197613714,-1.01122043100366,0.00147835165028649,0.00116072870208736,-184.036613600648,-245.676704287665,0.2468111803902,2.19399077862705,-403.77463316957,1.03603081144932,-254.528635297345,-0.00205522866019328,0.372107620159067,-0.000921572554566091,-0.0014619479640252,0.01478203782134,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
41.30875,-1.46156194412866,-0.917929363751769,0.000664422477100502,0.000573628963409365,-188.303718106411,-244.762368583039,0.12314955382439,2.01456021467574,-379.349178772691,0.973389231419508,-238.249053835462,-0.000312672070193677,0.172451206778277,-0.000454597548718067,-0.000723827457033151,0.00376297257019854,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
42.5575,-1.3363466585437,-0.835260083240879,4.2057714335182E-05,3.98084471802391E-05,-191.962395896402,-243.048472264056,0.00859863998487835,1.86148245183447,-357.334631373252,0.918935031074968,-223.345755412694,0.00104054013325402,0.0112460922862198,-3.14721588640892E-05,-5.03528364147303E-05,1.84834691011827E-05,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
43.80625,-1.22562902346514,-0.761548770549832,0.000435646798288805,0.000450926903858431,-195.02796260977,-240.581471639516,0.0976755078801285,1.72972912679427,-337.345547465462,0.871267451016566,-209.610805557175,0.00210575388530784,-0.119908638630972,-0.000355447521189673,-0.000572053708358391,0.0023738159488275,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
45.055,-1.12711715445923,-0.695453357746266,0.00080296425446993,0.000906938165726851,-197.513835400599,-237.400875636403,0.196389198487,1.61545326977407,-319.074371223514,0.829294059108645,-196.875135792459,0.00295580187860107,-0.227310278790738,-0.000712405317666536,-0.00115459109590336,0.00946060070723761,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
46.30375,-1.03896911632812,-0.635879642678986,0.00108528349961256,0.00133522489255901,-199.431827236807,-233.540413333597,0.28815932404849,1.51566842333072,-302.272523149976,0.792152705810061,-184.999670338209,0.00364403718185223,-0.315747000180631,-0.00104457724734699,-0.00170674358285825,0.0199393619189456,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
47.5525,-0.959688140699187,-0.581926800068857,0.00130164274087654,0.00174177702367766,-200.792403861612,-229.029019338492,0.373517929590942,1.42802585827865,-286.736744860311,0.759156068017961,-173.86876978302,0.00421028325034674,-0.388906340155537,-0.00135631845979489,-0.00223678088158601,0.0326392267377319,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
48.80125,-0.888045753667945,-0.532846600567594,0.00146647458699907,0.00213184571370444,-201.604916143798,-223.891686049363,0.452923978158446,1.35065688993636,-272.299069034663,0.729751585312268,-163.385312832759,0.0046848401359329,-0.449661138689652,-0.00165135026088691,-0.00275215152998436,0.0466151540835072,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
50.05,-0.823024513857384,-0.48801247827728,0.00159082783599017,0.00251015958373755,-201.877815976662,-218.150222307826,0.526772944900581,1.28205932965132,-258.819337422513,0.703492087607015,-153.466955303267,0.00509123777866086,-0.500273077571554,-0.0019329045601986,-0.00325980975241844,0.0611478687311006,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
51.29875,-0.763774765993191,-0.446895780150236,0.00168323573795136,0.00288110551356145,-201.618860634297,-211.823950510882,0.595404720257732,1.2210144420054,-246.179540615151,0.680013980595461,-144.043247772361,0.00544816516628746,-0.542539789432587,-0.00220383784971284,-0.00376650622519974,0.0757141669336082,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
52.5475,-0.709581567081747,-0.409047324238157,0.00175034143751038,0.00324888870090898,-200.835308038809,-204.930368314316,0.65911019211771,1.16652536273837,-234.279480560644,0.659020861774359,-135.053387930237,0.00577084690684437,-0.577902670823551,-0.00246672337432453,-0.00427906829795392,0.0899474758704057,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
53.79625,-0.659839100349389,-0.374082931146208,0.00179735411269385,0.00361768442355736,-199.534103400894,-197.48579613815,0.718136795543757,1.1177708633288,-223.033407021955,0.640271099059752,-126.444447742063,0.00607204186349178,-0.607526912495439,-0.0027239278662664,-0.0048046942617421,0.103599672142294,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
55.045,-0.614030671820818,-0.341671962947347,0.00182838543829466,0.00399179334449162,-197.722055932544,-189.506027381599,0.77269325701736,1.07407026153199,-212.36738032611,0.623568343788148,-118.169959632215,0.00636277704029716,-0.632361612499955,-0.00297767769950783,-0.005351289062534,0.116508795824746,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
56.29375,-0.571712918292704,-0.311528162259866,0.00184670038042658,0.00437581325314748,-195.406002597959,-181.006994231713,0.822953710820096,1.03485655156981,-202.217182004565,0.60875424821253,-110.188776694736,0.00665288954685675,-0.653185427490078,-0.00323011833621207,-0.00592787620557439,0.128573701940015,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
57.5425,-0.532503226678782,-0.283402267263564,0.00185490594307713,0.00477484315829564,-192.592953961592,-172.005457906462,0.86906132168077,0.999655694083238,-192.526643068017,0.595702863009565,-102.464143728151,0.00695142179132271,-0.670641597150313,-0.00348337033494832,-0.00654513445141944,0.139735039021407,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
58.79125,-0.496069626494676,-0.257076009755485,0.00185509447163502,0.00519474145844228,-189.290214839242,-162.519727848881,0.911131502992592,0.968070609191316,-183.24629359338,0.58431633350469,-94.9629314988382,0.00726689521936197,-0.685265067717939,-0.00373958487388853,-0.00721613219918683,0.149961385447712,4.98389995200037E-06,2.13416169604046E-06,2.35848439957533E-06,77.3624647042687
